arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Male,51,45-59,Technical certification or trade school,Moderate Democrat,1,1,2,0.0,0.0,0.0,100.0,25.0
Control,control,,,,,,,Female,53,45-59,2-year college,Moderate Democrat,1,1,3,8.0,97.0,85.0,8.0,49.5
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Female,42,30-44,4-year college,Strong Democrat,0,1,3,70.0,40.0,40.0,42.0,48.0
Message 41,AI,ban_solitary_confinement_juveniles_pythia-70m_2,pythia-70m,pythia,2.0,145.0,0.0,Female,61,60+,4-year college,Strong Democrat,0,1,3,40.0,40.0,36.0,70.0,46.5
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,41,30-44,High school diploma,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,40,30-44,4-year college,Independent,2,0,3,0.0,0.0,0.0,100.0,25.0
Control,control,,,,,,,Male,37,30-44,4-year college,Independent,2,1,3,100.0,100.0,0.0,100.0,75.0
Control,control,,,,,,,Female,26,18-29,4-year college,Moderate Democrat,1,1,2,0.0,0.0,0.0,100.0,25.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Male,59,45-59,4-year college,Independent,2,2,3,50.0,40.0,50.0,50.0,47.5
Message 29,AI,ban_solitary_confinement_juveniles_Yi-34B_3,Yi-34B,Yi,3.0,228.0,1.0,Female,50,45-59,4-year college,Moderate Republican,3,3,3,36.0,82.0,81.0,90.0,72.25
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,49,45-59,4-year college,Strong Democrat,0,0,3,50.0,50.0,50.0,50.0,50.0
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Male,47,45-59,4-year college,Moderate Republican,3,3,3,90.0,91.0,51.0,89.0,80.25
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,29,18-29,4-year college,Moderate Democrat,1,1,3,70.0,45.0,76.0,29.0,55.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,47,45-59,High school diploma,Moderate Democrat,1,1,3,80.0,81.0,81.0,70.0,78.0
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Male,51,45-59,4-year college,Strong Republican,4,4,3,0.0,0.0,0.0,100.0,25.0
Message 53,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_2,Qwen1.5-1.8B,Qwen1.5,2.0,256.0,0.0,Male,55,45-59,4-year college,Independent,2,2,3,94.0,7.0,18.0,87.0,51.5
Control,control,,,,,,,Female,64,60+,Graduate degree,"Other (Libertarian, Green, etc.)",2,0,3,0.0,0.0,0.0,0.0,0.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,32,30-44,High school diploma,Independent,2,2,3,52.0,50.0,39.0,50.0,47.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,35,30-44,Graduate degree,Strong Democrat,0,1,3,29.0,25.0,27.0,22.0,25.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,32,30-44,4-year college,Independent,2,2,2,100.0,0.0,0.0,0.0,25.0
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Female,36,30-44,4-year college,Independent,2,4,3,0.0,0.0,0.0,100.0,25.0
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Male,21,18-29,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,56,45-59,2-year college,Independent,2,2,2,71.0,80.0,34.0,26.0,52.75
Control,control,,,,,,,Female,31,30-44,2-year college,Moderate Democrat,1,1,1,29.0,20.0,0.0,30.0,19.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,31,30-44,2-year college,Moderate Republican,3,3,3,92.0,90.0,80.0,14.0,69.0
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Male,38,30-44,Graduate degree,Strong Democrat,0,0,3,50.0,50.0,50.0,50.0,50.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,42,30-44,Graduate degree,Strong Republican,4,4,2,100.0,100.0,100.0,0.0,75.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,44,30-44,4-year college,Moderate Democrat,1,1,3,27.0,15.0,14.0,32.0,22.0
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,30,30-44,4-year college,Moderate Democrat,1,0,3,0.0,0.0,0.0,100.0,25.0
Message 35,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_1,Qwen1.5-7B,Qwen1.5,1.0,180.0,1.0,Female,31,30-44,4-year college,Moderate Democrat,1,1,1,50.0,50.0,50.0,50.0,50.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,28,18-29,Graduate degree,Strong Republican,4,3,3,21.0,80.0,14.0,14.0,32.25
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,38,30-44,Graduate degree,Strong Democrat,0,0,3,86.0,12.0,41.0,13.0,38.0
Control,control,,,,,,,Prefer not to say,23,18-29,Did not graduate high school,Independent,2,2,2,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,40,30-44,High school diploma,Independent,2,0,2,0.0,0.0,0.0,100.0,25.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,30,30-44,4-year college,Strong Republican,4,4,3,63.0,25.0,64.0,61.0,53.25
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Female,44,30-44,Graduate degree,Moderate Democrat,1,2,3,90.0,100.0,75.0,100.0,91.25
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,62,60+,4-year college,Independent,2,2,2,70.0,87.0,36.0,37.0,57.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,45,45-59,High school diploma,Strong Democrat,0,1,3,10.0,10.0,20.0,10.0,12.5
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,29,18-29,High school diploma,Moderate Democrat,1,1,3,82.0,19.0,30.0,20.0,37.75
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Male,45,45-59,4-year college,Strong Republican,4,4,3,81.0,80.0,50.0,77.0,72.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,64,60+,Graduate degree,Strong Democrat,0,0,2,100.0,0.0,0.0,100.0,50.0
Control,control,,,,,,,Male,28,18-29,High school diploma,Moderate Democrat,1,1,3,0.0,0.0,0.0,100.0,25.0
Message 31,AI,ban_solitary_confinement_juveniles_Yi-6B_3,Yi-6B,Yi,3.0,295.0,0.0,Female,22,18-29,4-year college,Moderate Republican,3,3,3,20.0,20.0,60.0,70.0,42.5
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,37,30-44,4-year college,Moderate Democrat,1,1,3,95.0,5.0,25.0,10.0,33.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,62,60+,Graduate degree,Strong Democrat,0,0,3,0.0,0.0,100.0,0.0,25.0
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Male,33,30-44,4-year college,Strong Republican,4,4,3,0.0,100.0,100.0,100.0,75.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Male,48,45-59,2-year college,Moderate Democrat,1,1,3,100.0,100.0,100.0,0.0,75.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,41,30-44,Graduate degree,Strong Republican,4,4,3,93.0,99.0,94.0,94.0,95.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,49,45-59,Graduate degree,Independent,2,1,2,70.0,70.0,90.0,80.0,77.5
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Male,72,60+,Graduate degree,Strong Republican,4,4,3,55.0,60.0,55.0,55.0,56.25
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,35,30-44,Graduate degree,Independent,2,3,3,23.0,13.0,24.0,89.0,37.25
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Male,38,30-44,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Female,40,30-44,Technical certification or trade school,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,28,18-29,4-year college,Moderate Republican,3,3,2,67.0,30.0,67.0,33.0,49.25
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Male,33,30-44,High school diploma,Independent,2,2,3,85.0,25.0,100.0,90.0,75.0
Message 50,AI,ban_solitary_confinement_juveniles_pythia-1.4b_2,pythia-1.4b,pythia,2.0,107.0,1.0,Male,55,45-59,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,53,45-59,4-year college,Moderate Republican,3,3,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,59,45-59,4-year college,Moderate Democrat,1,1,2,20.0,19.0,20.0,21.0,20.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,32,30-44,Graduate degree,Strong Republican,4,4,3,100.0,100.0,100.0,0.0,75.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,65,60+,4-year college,Independent,2,1,3,71.0,90.0,7.0,92.0,65.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,34,30-44,4-year college,Strong Democrat,0,1,3,45.0,15.0,20.0,20.0,25.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,42,30-44,Graduate degree,Strong Democrat,0,1,3,42.0,43.0,42.0,55.0,45.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,66,60+,High school diploma,Moderate Republican,3,2,2,85.0,86.0,84.0,13.0,67.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,45,45-59,Graduate degree,Strong Democrat,0,1,3,14.0,14.0,13.0,12.0,13.25
Control,control,,,,,,,Male,38,30-44,2-year college,Moderate Democrat,1,1,2,40.0,47.0,29.0,54.0,42.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,40,30-44,4-year college,Strong Democrat,0,0,1,14.0,14.0,20.0,14.0,15.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,51,45-59,4-year college,Strong Republican,4,2,2,66.0,39.0,41.0,65.0,52.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,60,60+,4-year college,Moderate Republican,3,3,2,74.0,85.0,81.0,78.0,79.5
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Male,75,60+,Graduate degree,Moderate Republican,3,3,3,60.0,52.0,66.0,51.0,57.25
Control,control,,,,,,,Male,41,30-44,4-year college,Independent,2,4,3,50.0,50.0,50.0,50.0,50.0
Message 28,AI,ban_solitary_confinement_juveniles_pythia-160m_3,pythia-160m,pythia,3.0,23.0,1.0,Male,45,45-59,2-year college,"Other (Libertarian, Green, etc.)",2,2,3,100.0,100.0,50.0,0.0,62.5
Control,control,,,,,,,Female,65,60+,4-year college,Strong Democrat,0,0,3,40.0,39.0,41.0,40.0,40.0
Message 46,AI,ban_solitary_confinement_juveniles_pythia-6.9b_2,pythia-6.9b,pythia,2.0,119.0,0.0,Male,39,30-44,Technical certification or trade school,Independent,2,2,3,0.0,0.0,0.0,0.0,0.0
Message 04,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_3,Qwen1.5-7B,Qwen1.5,3.0,172.0,1.0,Male,23,18-29,High school diploma,Strong Democrat,0,0,3,100.0,100.0,100.0,100.0,100.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,32,30-44,High school diploma,Independent,2,1,1,0.0,0.0,0.0,0.0,0.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,77,60+,High school diploma,Strong Democrat,0,1,3,100.0,100.0,85.0,100.0,96.25
Message 30,AI,ban_solitary_confinement_juveniles_pythia-2.8b_3,pythia-2.8b,pythia,3.0,222.0,0.0,Female,56,45-59,High school diploma,Moderate Republican,3,3,3,82.0,18.0,20.0,82.0,50.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,32,30-44,High school diploma,Independent,2,1,2,36.0,65.0,36.0,65.0,50.5
Message 42,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_3,Llama-2-7b-hf,Llama,3.0,222.0,1.0,Female,37,30-44,4-year college,Strong Democrat,0,0,3,20.0,20.0,10.0,20.0,17.5
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Male,48,45-59,Graduate degree,Strong Republican,4,4,3,74.0,41.0,78.0,63.0,64.0
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Male,35,30-44,4-year college,Moderate Democrat,1,3,0,50.0,50.0,35.0,45.0,45.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Male,39,30-44,4-year college,Moderate Democrat,1,1,1,70.0,76.0,67.0,72.0,71.25
Control,control,,,,,,,Male,28,18-29,2-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Female,49,45-59,Technical certification or trade school,Moderate Democrat,1,1,3,100.0,100.0,0.0,0.0,50.0
Control,control,,,,,,,Female,28,18-29,4-year college,Strong Democrat,0,0,3,100.0,0.0,0.0,100.0,50.0
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,41,30-44,4-year college,Moderate Democrat,1,1,3,77.0,84.0,18.0,82.0,65.25
Control,control,,,,,,,Male,41,30-44,4-year college,Moderate Republican,3,3,3,90.0,90.0,90.0,10.0,70.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,53,45-59,2-year college,Strong Democrat,0,1,3,70.0,70.0,80.0,80.0,75.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,70,60+,High school diploma,Strong Republican,4,4,2,80.0,85.0,70.0,70.0,76.25
Message 50,AI,ban_solitary_confinement_juveniles_pythia-1.4b_2,pythia-1.4b,pythia,2.0,107.0,1.0,Female,54,45-59,4-year college,Moderate Republican,3,3,3,20.0,20.0,20.0,20.0,20.0
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,36,30-44,High school diploma,Strong Republican,4,4,2,0.0,0.0,100.0,0.0,25.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,32,30-44,4-year college,Moderate Democrat,1,1,2,70.0,70.0,65.0,50.0,63.75
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,53,45-59,2-year college,"Other (Libertarian, Green, etc.)",2,1,2,0.0,100.0,0.0,0.0,25.0
Control,control,,,,,,,Male,38,30-44,4-year college,Moderate Democrat,1,1,2,25.0,86.0,10.0,80.0,50.25
Control,control,,,,,,,Male,45,45-59,Technical certification or trade school,Moderate Democrat,1,1,1,100.0,0.0,0.0,0.0,25.0
Control,control,,,,,,,Male,40,30-44,2-year college,Independent,2,2,2,100.0,100.0,100.0,0.0,75.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,33,30-44,Graduate degree,Moderate Republican,3,3,1,100.0,100.0,100.0,100.0,100.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,29,18-29,Graduate degree,Moderate Democrat,1,1,3,60.0,59.0,61.0,40.0,55.0
Message 42,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_3,Llama-2-7b-hf,Llama,3.0,222.0,1.0,Female,25,18-29,High school diploma,Moderate Democrat,1,1,3,0.0,19.0,57.0,100.0,44.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,34,30-44,4-year college,Independent,2,2,3,58.0,61.0,56.0,47.0,55.5
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,59,45-59,4-year college,Moderate Republican,3,3,3,50.0,50.0,50.0,50.0,50.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,27,18-29,High school diploma,Moderate Democrat,1,1,2,80.0,60.0,65.0,20.0,56.25
Control,control,,,,,,,Female,25,18-29,4-year college,Moderate Democrat,1,1,1,0.0,100.0,0.0,0.0,25.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,32,30-44,4-year college,Moderate Democrat,1,1,2,35.0,66.0,36.0,41.0,44.5
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Prefer not to say,29,18-29,4-year college,Independent,2,2,3,0.0,0.0,0.0,0.0,0.0
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Female,48,45-59,High school diploma,Strong Republican,4,4,3,97.0,97.0,97.0,97.0,97.0
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Female,30,30-44,4-year college,Moderate Democrat,1,1,0,67.0,66.0,63.0,65.0,65.25
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Female,36,30-44,4-year college,Moderate Democrat,1,1,3,22.0,11.0,9.0,12.0,13.5
Message 21,AI,ban_solitary_confinement_juveniles_pythia-410m_1,pythia-410m,pythia,1.0,181.0,0.0,Female,31,30-44,4-year college,Moderate Republican,3,3,2,32.0,64.0,59.0,70.0,56.25
Message 47,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_2,Qwen1.5-0.5B,Qwen1.5,2.0,148.0,0.0,Male,42,30-44,4-year college,Strong Democrat,0,1,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,48,45-59,4-year college,Strong Democrat,0,0,3,0.0,0.0,5.0,0.0,1.25
Message 73,AI,ban_solitary_confinement_juveniles_pythia-1.4b_3,pythia-1.4b,pythia,3.0,147.0,0.0,Female,43,30-44,High school diploma,Independent,2,0,3,0.0,0.0,0.0,100.0,25.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,31,30-44,Graduate degree,Independent,2,2,1,84.0,78.0,50.0,26.0,59.5
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Female,36,30-44,High school diploma,Independent,2,1,2,50.0,50.0,50.0,30.0,45.0
Message 23,AI,ban_solitary_confinement_juveniles_pythia-410m_3,pythia-410m,pythia,3.0,131.0,1.0,Male,18,18-29,High school diploma,Moderate Republican,3,3,3,58.0,46.0,87.0,75.0,66.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,50,45-59,4-year college,Strong Democrat,0,0,2,100.0,0.0,0.0,100.0,50.0
Control,control,,,,,,,Female,39,30-44,4-year college,Independent,2,3,2,12.0,88.0,20.0,11.0,32.75
Control,control,,,,,,,Male,25,18-29,2-year college,Moderate Democrat,1,1,3,60.0,60.0,45.0,70.0,58.75
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,50,45-59,4-year college,Independent,2,3,2,60.0,60.0,60.0,34.0,53.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,33,30-44,High school diploma,Moderate Democrat,1,1,1,70.0,30.0,80.0,60.0,60.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,76,60+,4-year college,Moderate Republican,3,3,0,80.0,80.0,80.0,20.0,65.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,40,30-44,High school diploma,Independent,2,2,3,80.0,90.0,80.0,100.0,87.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,76,60+,4-year college,Independent,2,3,2,90.0,100.0,90.0,100.0,95.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Male,45,45-59,Technical certification or trade school,Moderate Republican,3,3,3,100.0,100.0,100.0,100.0,100.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,42,30-44,Graduate degree,Moderate Democrat,1,1,3,40.0,30.0,70.0,30.0,42.5
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Non-binary / third gender,33,30-44,4-year college,Independent,2,0,3,0.0,0.0,10.0,0.0,2.5
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,26,18-29,4-year college,Moderate Democrat,1,1,2,48.0,52.0,54.0,53.0,51.75
Message 34,AI,ban_solitary_confinement_juveniles_Yi-6B_2,Yi-6B,Yi,2.0,286.0,1.0,Male,52,45-59,Graduate degree,Strong Democrat,0,0,3,30.0,25.0,23.0,67.0,36.25
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,30,30-44,Graduate degree,Strong Democrat,0,1,3,9.0,9.0,12.0,82.0,28.0
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,24,18-29,4-year college,Moderate Democrat,1,1,3,91.0,90.0,100.0,95.0,94.0
Control,control,,,,,,,Female,51,45-59,2-year college,Moderate Democrat,1,1,3,19.0,15.0,9.0,90.0,33.25
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Male,46,45-59,High school diploma,Moderate Republican,3,3,2,75.0,90.0,75.0,90.0,82.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,35,30-44,Graduate degree,Moderate Democrat,1,2,3,82.0,76.0,34.0,80.0,68.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,74,60+,Graduate degree,Independent,2,3,3,100.0,100.0,70.0,100.0,92.5
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Male,23,18-29,Graduate degree,Independent,2,2,2,75.0,33.0,57.0,38.0,50.75
Control,control,,,,,,,Male,30,30-44,4-year college,Moderate Democrat,1,0,3,30.0,20.0,20.0,20.0,22.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,33,30-44,Graduate degree,Independent,2,3,2,4.0,96.0,96.0,96.0,73.0
